"objectid","id","datetimeoccur","weekday","location","districtoccur","psa","stopcode","stoptype","inside_or_outside","gender","race","age","individual_frisked","individual_searched","individual_arrested","individual_contraband","vehicle_frisked","vehicle_searched","vehicle_contraband","vehicle_contraband_list","individual_contraband_list","mvc_code","mvc_reason","mvc_code_sec","mvc_code_sec_reason","point_x","point_y","lat","lng"
79,903360,2019-01-09 15:22:00,"WEDNESDAY","6600 BLOCK Essington Ave",12,1,2702,"vehicle","Outside","Male","Black - Non-Latino",56,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.22059229,39.91443023,39.91443023,-75.22059229
1850,1006435,2019-03-23 23:45:00,"SATURDAY","1300 BLOCK s 55th",12,3,2702,"vehicle","Outside","Male","Black - Non-Latino",26,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.22685958,39.94087354,39.94087353,-75.22685958
1851,1012091,2019-03-28 01:18:00,"WEDNESDAY","1300 BLOCK S 55th ST",12,3,2702,"vehicle","Outside","Male","Black - Non-Latino",31,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.22685958,39.94087354,39.94087353,-75.22685958
1858,903183,2019-01-09 10:54:00,"WEDNESDAY","1300 BLOCK s 55",12,4,2702,"vehicle","Outside","Female","Black - Non-Latino",38,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.22685958,39.94087354,39.94087353,-75.22685958
1859,954157,2019-02-15 04:30:00,"THURSDAY","1300 BLOCK S 55TH ST",12,2,2702,"vehicle","Outside","Male","Black - Non-Latino",26,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.22685958,39.94087354,39.94087353,-75.22685958
1861,1006434,2019-03-23 23:45:00,"SATURDAY","1300 BLOCK s 55th",12,3,2702,"vehicle","Outside","Male","Black - Non-Latino",27,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.22685958,39.94087354,39.94087353,-75.22685958
4525,982352,2019-03-06 18:10:00,"WEDNESDAY","2000 BLOCK S 65TH ST",12,2,2702,"vehicle","Outside","Male","Black - Non-Latino",25,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.23703658,39.92762484,39.92762484,-75.23703658
4526,993097,2019-03-14 08:19:00,"THURSDAY","2000 BLOCK S 65TH ST",12,2,2702,"vehicle","Outside","Male","Black - Non-Latino",37,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.23703658,39.92762484,39.92762484,-75.23703658
4527,993532,2019-03-14 17:05:00,"THURSDAY","2000 BLOCK S 65TH ST",12,2,2702,"vehicle","Outside","Female","Black - Non-Latino",23,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.23703658,39.92762484,39.92762484,-75.23703658
4531,930278,2019-01-29 01:44:00,"MONDAY","2000 BLOCK S 65TH ST",12,2,2702,"vehicle","Outside","Female","Black - Non-Latino",56,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.23703658,39.92762484,39.92762484,-75.23703658
4533,940498,2019-02-05 16:08:00,"TUESDAY","2000 BLOCK s 65th st",12,2,2702,"vehicle","Outside","Male","Black - Non-Latino",28,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.23703658,39.92762484,39.92762484,-75.23703658
4534,944350,2019-02-08 02:28:00,"THURSDAY","2000 BLOCK 65TH ST",12,2,2702,"vehicle","Outside","Female","Black - Non-Latino",29,0,0,0,0,0,0,0,NA,NA,"","",NA,NA,-75.23703658,39.92762484,39.92762484,-75.23703658
